address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"6212 Barb Werner Ln, San Jose, CA 95119",95119,700000.0,Sold 07/11/2019,1996,1000.0,CONDO,3305,346609.0,3,3.0,1252,37.240118,-121.795413,https://www.zillow.com/homedetails/6212-Barb-Werner-Ln-San-Jose-CA-95119/19841842_zpid/,Sold
"308 El Portal Way, San Jose, CA 95119",95119,1100000.0,Sold 07/05/2019,1968,7623.0,SINGLE_FAMILY,4200,318338.0,4,3.0,2365,37.233429,-121.800999,https://www.zillow.com/homedetails/308-El-Portal-Way-San-Jose-CA-95119/19837745_zpid/,Sold
"6556 Radko Dr, San Jose, CA 95119",95119,1240000.0,Sold 07/01/2019,1974,6155.0,SINGLE_FAMILY,3800,887262.0,4,2.0,1791,37.229255,-121.791438,https://www.zillow.com/homedetails/6556-Radko-Dr-San-Jose-CA-95119/19838365_zpid/,Sold
"317 Curie Dr, San Jose, CA 95119",95119,848000.0,Sold 07/01/2019,1968,6303.0,SINGLE_FAMILY,3200,549797.0,2,2.0,1348,37.228035,-121.797304,https://www.zillow.com/homedetails/317-Curie-Dr-San-Jose-CA-95119/19838237_zpid/,Sold
"269 Arbor Valley Dr, San Jose, CA 95119",95119,895000.0,Sold 06/28/2019,1970,6006.0,SINGLE_FAMILY,3600,609298.0,4,2.0,1533,37.226439,-121.785671,https://www.zillow.com/homedetails/269-Arbor-Valley-Dr-San-Jose-CA-95119/19839658_zpid/,Sold
"7013 Heaton Moor Dr, San Jose, CA 95119",95119,940000.0,Sold 06/26/2019,1972,6420.0,SINGLE_FAMILY,3895,311532.0,5,3.0,1926,37.221396,-121.785088,https://www.zillow.com/homedetails/7013-Heaton-Moor-Dr-San-Jose-CA-95119/19839433_zpid/,Sold
"313 Bromley Cross Dr, San Jose, CA 95119",95119,815000.0,Sold 06/25/2019,1970,6155.0,SINGLE_FAMILY,3200,505049.0,3,2.0,1014,37.22235,-121.785174,https://www.zillow.com/homedetails/313-Bromley-Cross-Dr-San-Jose-CA-95119/19839388_zpid/,Sold
"6570 Kaneko Dr, San Jose, CA 95119",95119,893000.0,Sold 06/21/2019,1970,6242.0,SINGLE_FAMILY,3400,716652.0,3,2.0,1137,37.232923,-121.78945,https://www.zillow.com/homedetails/6570-Kaneko-Dr-San-Jose-CA-95119/19839041_zpid/,Sold
"6613 San Anselmo Way, San Jose, CA 95119",95119,1105000.0,Sold 06/19/2019,-1,-1.0,SINGLE_FAMILY,4000,421365.0,,,,37.229691,-121.790915,https://www.zillow.com/homedetails/6613-San-Anselmo-Way-San-Jose-CA-95119/19838393_zpid/,Sold
"6548 Catamaran St, San Jose, CA 95119",95119,831000.0,Sold 06/18/2019,1970,6046.0,SINGLE_FAMILY,3595,188980.0,4,2.0,1408,37.232251,-121.791479,https://www.zillow.com/homedetails/6548-Catamaran-St-San-Jose-CA-95119/19838994_zpid/,Sold
"6782 Endmoor Dr, San Jose, CA 95119",95119,931125.0,Sold 06/14/2019,1972,6146.0,SINGLE_FAMILY,3500,646417.0,4,2.0,1308,37.22537,-121.789656,https://www.zillow.com/homedetails/6782-Endmoor-Dr-San-Jose-CA-95119/19839302_zpid/,Sold
"236 Arbor Valley Dr, San Jose, CA 95119",95119,810000.0,Sold 06/11/2019,1970,6324.0,SINGLE_FAMILY,3290,301168.0,3,2.0,1067,37.226915,-121.783128,https://www.zillow.com/homedetails/236-Arbor-Valley-Dr-San-Jose-CA-95119/19839560_zpid/,Sold
"6563 Kaneko Dr, San Jose, CA 95119",95119,928000.0,Sold 06/10/2019,1970,5662.0,SINGLE_FAMILY,3400,770100.0,3,2.0,1137,37.232541,-121.789827,https://www.zillow.com/homedetails/6563-Kaneko-Dr-San-Jose-CA-95119/19838984_zpid/,Sold
"6580 Pemba Dr, San Jose, CA 95119",95119,800000.0,Sold 06/07/2019,1970,5663.0,SINGLE_FAMILY,3600,790703.0,4,2.0,1601,37.232971,-121.788534,https://www.zillow.com/homedetails/6580-Pemba-Dr-San-Jose-CA-95119/19839005_zpid/,Sold
"275 Los Palmos Way, San Jose, CA 95119",95119,1107000.0,Sold 05/31/2019,1968,6307.0,SINGLE_FAMILY,3800,764725.0,4,2.0,1939,37.235167,-121.798732,https://www.zillow.com/homedetails/275-Los-Palmos-Way-San-Jose-CA-95119/19838791_zpid/,Sold
"6299 Camino Verde Dr, San Jose, CA 95119",95119,1335000.0,Sold 05/29/2019,1972,6695.0,SINGLE_FAMILY,4412,395837.0,5,3.0,2563,37.231496,-121.799153,https://www.zillow.com/homedetails/6299-Camino-Verde-Dr-San-Jose-CA-95119/19837811_zpid/,Sold
"6134 Escondido Ct, San Jose, CA 95119",95119,1100000.0,Sold 05/28/2019,1966,5945.0,SINGLE_FAMILY,3695,369865.0,4,2.0,1715,37.236139,-121.797686,https://www.zillow.com/homedetails/6134-Escondido-Ct-San-Jose-CA-95119/19838826_zpid/,Sold
"309 Burning Tree Dr, San Jose, CA 95119",95119,1170000.0,Sold 05/24/2019,1970,6202.0,SINGLE_FAMILY,4147,728884.0,6,4.0,2447,37.223014,-121.781989,https://www.zillow.com/homedetails/309-Burning-Tree-Dr-San-Jose-CA-95119/19839991_zpid/,Sold
"6958 Del Rio Dr, San Jose, CA 95119",95119,933000.0,Sold 05/17/2019,1970,7444.0,SINGLE_FAMILY,3800,509122.0,5,2.0,2199,37.225979,-121.780633,https://www.zillow.com/homedetails/6958-Del-Rio-Dr-San-Jose-CA-95119/19839902_zpid/,Sold
"260 Martinvale Ln, San Jose, CA 95119",95119,800000.0,Sold 05/14/2019,1970,5998.0,SINGLE_FAMILY,3100,376857.0,3,1.0,1014,37.225398,-121.783319,https://www.zillow.com/homedetails/260-Martinvale-Ln-San-Jose-CA-95119/19840018_zpid/,Sold
"228 Prague Dr, San Jose, CA 95119",95119,975000.0,Sold 05/09/2019,1974,6000.0,SINGLE_FAMILY,4000,264012.0,4,2.5,2386,37.228288,-121.789042,https://www.zillow.com/homedetails/228-Prague-Dr-San-Jose-CA-95119/19839249_zpid/,Sold
"268 Martinvale Ln, San Jose, CA 95119",95119,877000.0,Sold 05/07/2019,1970,6494.0,SINGLE_FAMILY,3700,640080.0,5,2.0,1800,37.224819,-121.783747,https://www.zillow.com/homedetails/268-Martinvale-Ln-San-Jose-CA-95119/19840014_zpid/,Sold
"6690 San Anselmo Way, San Jose, CA 95119",95119,1060003.0,Sold 05/03/2019,1969,7845.0,SINGLE_FAMILY,3550,497836.0,3,2.0,1452,37.229192,-121.788173,https://www.zillow.com/homedetails/6690-San-Anselmo-Way-San-Jose-CA-95119/19839183_zpid/,Sold
"260 Los Palmos Way, San Jose, CA 95119",95119,1195000.0,Sold 05/01/2019,1970,6146.0,SINGLE_FAMILY,3815,113042.0,5,3.0,2181,37.234867,-121.797153,https://www.zillow.com/homedetails/260-Los-Palmos-Way-San-Jose-CA-95119/19838775_zpid/,Sold
"215 Paraiso Ct, San Jose, CA 95119",95119,955000.0,Sold 04/30/2019,1970,6054.0,SINGLE_FAMILY,3400,199897.0,3,2.0,1417,37.231689,-121.78657,https://www.zillow.com/homedetails/215-Paraiso-Ct-San-Jose-CA-95119/19839128_zpid/,Sold
"275 Vineyard Dr, San Jose, CA 95119",95119,922000.0,Sold 04/30/2019,1970,6080.0,SINGLE_FAMILY,3500,58218.0,4,2.0,1308,37.226213,-121.78696,https://www.zillow.com/homedetails/275-Vineyard-Dr-San-Jose-CA-95119/19839282_zpid/,Sold
"6314 Nepo Dr, San Jose, CA 95119",95119,1083500.0,Sold 04/30/2019,1970,6000.0,SINGLE_FAMILY,3645,438130.0,4,3.0,2025,37.230253,-121.802905,https://www.zillow.com/homedetails/6314-Nepo-Dr-San-Jose-CA-95119/19837923_zpid/,Sold
"6448 Du Sault Dr, San Jose, CA 95119",95119,850000.0,Sold 04/29/2019,1972,5998.0,SINGLE_FAMILY,3430,405349.0,3,2.0,1144,37.22951,-121.797106,https://www.zillow.com/homedetails/6448-Du-Sault-Dr-San-Jose-CA-95119/19838301_zpid/,Sold
"6297 Solano Dr, San Jose, CA 95119",95119,1050000.0,Sold 04/26/2019,1972,6107.0,SINGLE_FAMILY,3832,795055.0,4,2.5,2124,37.231439,-121.798221,https://www.zillow.com/homedetails/6297-Solano-Dr-San-Jose-CA-95119/19838629_zpid/,Sold
"6427 Camino Verde Dr, San Jose, CA 95119",95119,1010000.0,Sold 04/22/2019,1970,6054.0,SINGLE_FAMILY,3508,106169.0,3,2.0,1583,37.228817,-121.799467,https://www.zillow.com/homedetails/6427-Camino-Verde-Dr-San-Jose-CA-95119/19837983_zpid/,Sold
"7026 Heaton Moor Dr, San Jose, CA 95119",95119,865000.0,Sold 04/13/2019,1972,5998.0,SINGLE_FAMILY,3500,609463.0,4,2.0,1308,37.221739,-121.784528,https://www.zillow.com/homedetails/7026-Heaton-Moor-Dr-San-Jose-CA-95119/19839446_zpid/,Sold
"253 Los Palmos Way, San Jose, CA 95119",95119,985000.0,Sold 04/12/2019,1970,7274.0,SINGLE_FAMILY,3700,250206.0,4,2.0,1503,37.235311,-121.79638,https://www.zillow.com/homedetails/253-Los-Palmos-Way-San-Jose-CA-95119/19838780_zpid/,Sold
"6832 Endmoor Dr, San Jose, CA 95119",95119,845000.0,Sold 04/11/2019,1972,6000.0,SINGLE_FAMILY,3295,630257.0,3,2.0,1067,37.225342,-121.787697,https://www.zillow.com/homedetails/6832-Endmoor-Dr-San-Jose-CA-95119/19839292_zpid/,Sold
"6502 Pemba Dr, San Jose, CA 95119",95119,933000.0,Sold 04/10/2019,1970,6542.0,SINGLE_FAMILY,3700,729810.0,4,2.0,1601,37.234606,-121.79048,https://www.zillow.com/homedetails/6502-Pemba-Dr-San-Jose-CA-95119/19839020_zpid/,Sold
"6208 Barb Werner Ln, San Jose, CA 95119",95119,613000.0,Sold 04/09/2019,1996,871.0,CONDO,2648,436328.0,2,2.0,859,37.24007,-121.795497,https://www.zillow.com/homedetails/6208-Barb-Werner-Ln-San-Jose-CA-95119/19841841_zpid/,Sold
"6169 Lavendula Way, San Jose, CA 95119",95119,2190000.0,Sold 04/08/2019,1996,1000.0,CONDO,4193,348767.0,3,3.0,1252,37.23946,-121.795388,https://www.zillow.com/homedetails/6169-Lavendula-Way-San-Jose-CA-95119/19841783_zpid/,Sold
"273 Vineyard Dr, San Jose, CA 95119",95119,1100000.0,Sold 04/03/2019,1970,6115.0,SINGLE_FAMILY,3500,615600.0,4,3.0,1806,37.226366,-121.786947,https://www.zillow.com/homedetails/273-Vineyard-Dr-San-Jose-CA-95119/19839281_zpid/,Sold
"6788 Endmoor Dr, San Jose, CA 95119",95119,106000.0,Sold 03/28/2019,1972,6000.0,SINGLE_FAMILY,3695,78717.0,4,2.0,1459,37.225403,-121.789467,https://www.zillow.com/homedetails/6788-Endmoor-Dr-San-Jose-CA-95119/19839301_zpid/,Sold
"6967 Del Rio Dr, San Jose, CA 95119",95119,950000.0,Sold 03/22/2019,1971,6599.0,SINGLE_FAMILY,2950,353553.0,3,2.0,1343,37.225469,-121.780654,https://www.zillow.com/homedetails/6967-Del-Rio-Dr-San-Jose-CA-95119/19840055_zpid/,Sold
"6303 Nepo Dr, San Jose, CA 95119",95119,923000.0,Sold 03/22/2019,1970,6403.0,SINGLE_FAMILY,3695,897345.0,4,2.0,1657,37.229808,-121.803515,https://www.zillow.com/homedetails/6303-Nepo-Dr-San-Jose-CA-95119/19837927_zpid/,Sold
"6985 Polvadero Dr, San Jose, CA 95119",95119,830000.0,Sold 03/19/2019,1968,6355.0,SINGLE_FAMILY,3250,792682.0,3,2.0,1376,37.224934,-121.781305,https://www.zillow.com/homedetails/6985-Polvadero-Dr-San-Jose-CA-95119/19839914_zpid/,Sold
"6637 San Anselmo Way, San Jose, CA 95119",95119,950000.0,Sold 03/18/2019,1975,5972.0,SINGLE_FAMILY,3700,522019.0,4,2.0,2010,37.229407,-121.79008,https://www.zillow.com/homedetails/6637-San-Anselmo-Way-San-Jose-CA-95119/19839266_zpid/,Sold
"265 Dondero Way, San Jose, CA 95119",95119,901000.0,Sold 03/15/2019,1970,5998.0,SINGLE_FAMILY,3600,310598.0,4,2.0,1503,37.233109,-121.7949,https://www.zillow.com/homedetails/265-Dondero-Way-San-Jose-CA-95119/19838672_zpid/,Sold
"310 Curie Dr, San Jose, CA 95119",95119,921000.0,Sold 03/12/2019,1970,7095.0,SINGLE_FAMILY,3421,60254.0,3,2.0,1137,37.22747,-121.796418,https://www.zillow.com/homedetails/310-Curie-Dr-San-Jose-CA-95119/19838129_zpid/,Sold
"6221 Barb Werner Ln, San Jose, CA 95119",95119,675000.0,Sold 03/11/2019,1996,1000.0,CONDO,2950,493567.0,2,2.5,1293,37.240338,-121.795783,https://www.zillow.com/homedetails/6221-Barb-Werner-Ln-San-Jose-CA-95119/19841851_zpid/,Sold
"6314 Camino Verde Dr, San Jose, CA 95119",95119,1250001.0,Sold 03/09/2019,1972,6185.0,SINGLE_FAMILY,3950,786476.0,4,3.0,2124,37.231335,-121.798551,https://www.zillow.com/homedetails/6314-Camino-Verde-Dr-San-Jose-CA-95119/19838654_zpid/,Sold
"217 Sherry Ct, San Jose, CA 95119",95119,860000.0,Sold 03/02/2019,1969,6098.0,SINGLE_FAMILY,3500,424724.0,3,2.0,1392,37.229276,-121.784111,https://www.zillow.com/homedetails/217-Sherry-Ct-San-Jose-CA-95119/19839765_zpid/,Sold
"281 Vineyard Dr, San Jose, CA 95119",95119,885000.0,Sold 02/15/2019,1970,6000.0,SINGLE_FAMILY,3500,750645.0,4,2.0,1308,37.225759,-121.787001,https://www.zillow.com/homedetails/281-Vineyard-Dr-San-Jose-CA-95119/19839285_zpid/,Sold
"6778 Endmoor Dr, San Jose, CA 95119",95119,874900.0,Sold 02/13/2019,1972,6011.0,SINGLE_FAMILY,3400,663000.0,3,2.0,1067,37.225383,-121.78985,https://www.zillow.com/homedetails/6778-Endmoor-Dr-San-Jose-CA-95119/19839303_zpid/,Sold
"6821 Muscat Dr, San Jose, CA 95119",95119,1098000.0,Sold 02/12/2019,1969,5989.0,SINGLE_FAMILY,3950,236150.0,5,4.0,2085,37.228039,-121.783219,https://www.zillow.com/homedetails/6821-Muscat-Dr-San-Jose-CA-95119/19839638_zpid/,Sold
"6752 Endmoor Dr, San Jose, CA 95119",95119,1200000.0,Sold 02/11/2019,1972,5998.0,SINGLE_FAMILY,3290,780000.0,4,3.0,1833,37.225446,-121.790837,https://www.zillow.com/homedetails/6752-Endmoor-Dr-San-Jose-CA-95119/19839307_zpid/,Sold
"6725 Cielito Way, San Jose, CA 95119",95119,975000.0,Sold 02/08/2019,1970,5998.0,SINGLE_FAMILY,3600,637270.0,4,2.0,1495,37.22957,-121.786168,https://www.zillow.com/homedetails/6725-Cielito-Way-San-Jose-CA-95119/19839143_zpid/,Sold
"261 Los Palmos Way, San Jose, CA 95119",95119,1049000.0,Sold 02/01/2019,1970,6098.0,SINGLE_FAMILY,3755,376072.0,4,2.5,2181,37.235306,-121.797257,https://www.zillow.com/homedetails/261-Los-Palmos-Way-San-Jose-CA-95119/19838784_zpid/,Sold
"6983 Heaton Moor Dr, San Jose, CA 95119",95119,905000.0,Video Walkthrough,1972,8999.0,SINGLE_FAMILY,3400,500251.0,3,2.0,1547,37.221681,-121.785788,https://www.zillow.com/homedetails/6983-Heaton-Moor-Dr-San-Jose-CA-95119/19839429_zpid/,Sold
"197 Burning Tree Dr, San Jose, CA 95119",95119,950000.0,Sold 01/18/2019,1970,6660.0,SINGLE_FAMILY,3700,712976.0,4,2.0,1750,37.228194,-121.779731,https://www.zillow.com/homedetails/197-Burning-Tree-Dr-San-Jose-CA-95119/112094009_zpid/,Sold
"52 Bernal Way, San Jose, CA 95119",95119,813500.0,Sold 01/17/2019,1976,6000.0,SINGLE_FAMILY,3450,698279.0,3,2.0,1308,37.233403,-121.770408,https://www.zillow.com/homedetails/52-Bernal-Way-San-Jose-CA-95119/19841296_zpid/,Sold
"6344 Holly Gillingham Ln, San Jose, CA 95119",95119,825000.0,Sold 01/14/2019,1996,1001.0,TOWNHOUSE,3345,686664.0,3,3.0,1318,37.240333,-121.79658,https://www.zillow.com/homedetails/6344-Holly-Gillingham-Ln-San-Jose-CA-95119/19841876_zpid/,Sold
"6785 Muscat Dr, San Jose, CA 95119",95119,905000.0,Sold 01/12/2019,1970,6000.0,SINGLE_FAMILY,3500,555194.0,4,2.0,1308,37.228494,-121.783978,https://www.zillow.com/homedetails/6785-Muscat-Dr-San-Jose-CA-95119/19839633_zpid/,Sold
"6495 Pemba Dr, San Jose, CA 95119",95119,750000.0,Sold 01/11/2019,1970,5963.0,SINGLE_FAMILY,3375,188843.0,3,2.0,1137,37.234336,-121.790955,https://www.zillow.com/homedetails/6495-Pemba-Dr-San-Jose-CA-95119/19839025_zpid/,Sold
"6988 Bolado Dr, San Jose, CA 95119",95119,878000.0,Sold 01/09/2019,1970,5998.0,SINGLE_FAMILY,3500,424352.0,5,2.0,1508,37.226323,-121.779613,https://www.zillow.com/homedetails/6988-Bolado-Dr-San-Jose-CA-95119/19839848_zpid/,Sold
"6293 Island Pine Way, San Jose, CA 95119",95119,790000.0,Sold 01/09/2019,1996,1000.0,TOWNHOUSE,3345,520745.0,3,3.0,1318,37.239743,-121.7969,https://www.zillow.com/homedetails/6293-Island-Pine-Way-San-Jose-CA-95119/19841749_zpid/,Sold
"6932 Burning Tree Ct, San Jose, CA 95119",95119,920000.0,Sold 12/22/2018,1970,6165.0,SINGLE_FAMILY,3700,530922.0,4,2.0,1800,37.227296,-121.779745,https://www.zillow.com/homedetails/6932-Burning-Tree-Ct-San-Jose-CA-95119/19839880_zpid/,Sold
"6964 Polvadero Dr, San Jose, CA 95119",95119,860000.0,Sold 12/20/2018,1970,5993.0,SINGLE_FAMILY,3400,148767.0,3,2.0,1300,37.225221,-121.781942,https://www.zillow.com/homedetails/6964-Polvadero-Dr-San-Jose-CA-95119/19840070_zpid/,Sold
"215 Vineyard Dr, San Jose, CA 95119",95119,785000.0,Sold 12/18/2018,1970,5998.0,SINGLE_FAMILY,3500,453779.0,4,2.0,1308,37.230022,-121.784603,https://www.zillow.com/homedetails/215-Vineyard-Dr-San-Jose-CA-95119/19839078_zpid/,Sold
"6710 Cielito Way, San Jose, CA 95119",95119,920000.0,Video Walkthrough,1969,6298.0,SINGLE_FAMILY,3700,77514.0,4,2.0,1790,37.229812,-121.785263,https://www.zillow.com/homedetails/6710-Cielito-Way-San-Jose-CA-95119/81376784_zpid/,Sold
"184 Burning Tree Dr, San Jose, CA 95119",95119,792000.0,Sold 12/07/2018,1970,6015.0,SINGLE_FAMILY,3100,510239.0,2,2.0,1014,37.227389,-121.779325,https://www.zillow.com/homedetails/184-Burning-Tree-Dr-San-Jose-CA-95119/19839831_zpid/,Sold
"207 Colibri Ct, San Jose, CA 95119",95119,988000.0,Sold 12/06/2018,1969,11251.0,SINGLE_FAMILY,3500,313890.0,3,2.0,1452,37.231321,-121.785472,https://www.zillow.com/homedetails/207-Colibri-Ct-San-Jose-CA-95119/19839117_zpid/,Sold
"6293 Solano Dr, San Jose, CA 95119",95119,1105000.0,Sold 12/05/2018,1972,5998.0,SINGLE_FAMILY,3800,836977.0,4,2.0,1843,37.231605,-121.798254,https://www.zillow.com/homedetails/6293-Solano-Dr-San-Jose-CA-95119/19838628_zpid/,Sold
"6597 Korhummel Way, San Jose, CA 95119",95119,875001.0,Sold 12/03/2018,1970,6107.0,SINGLE_FAMILY,3395,478538.0,3,2.0,1137,37.227585,-121.793852,https://www.zillow.com/homedetails/6597-Korhummel-Way-San-Jose-CA-95119/19838236_zpid/,Sold
"6485 Pemba Dr, San Jose, CA 95119",95119,850000.0,Sold 12/01/2018,1970,6947.0,SINGLE_FAMILY,3400,624870.0,3,2.0,1137,37.234412,-121.791149,https://www.zillow.com/homedetails/6485-Pemba-Dr-San-Jose-CA-95119/19839062_zpid/,Sold
"293 Esteban Way, San Jose, CA 95119",95119,985000.0,Sold 11/30/2018,1970,5998.0,SINGLE_FAMILY,3800,134981.0,5,3.0,2099,37.232448,-121.797317,https://www.zillow.com/homedetails/293-Esteban-Way-San-Jose-CA-95119/19838601_zpid/,Sold
"6188 Lavendula Way, San Jose, CA 95119",95119,725000.0,Sold 11/30/2018,1996,1000.0,CONDO,3300,557654.0,2,3.0,1293,37.239244,-121.795109,https://www.zillow.com/homedetails/6188-Lavendula-Way-San-Jose-CA-95119/19841795_zpid/,Sold
"68 Bernal Way, San Jose, CA 95119",95119,720000.0,Sold 11/28/2018,1976,6000.0,SINGLE_FAMILY,3475,546479.0,3,2.0,1308,37.232751,-121.771012,https://www.zillow.com/homedetails/68-Bernal-Way-San-Jose-CA-95119/19841292_zpid/,Sold
"32 Bernal Way, San Jose, CA 95119",95119,857250.0,Sold 11/28/2018,1976,5880.0,SINGLE_FAMILY,3500,684125.0,4,2.0,1632,37.234225,-121.769626,https://www.zillow.com/homedetails/32-Bernal-Way-San-Jose-CA-95119/19841301_zpid/,Sold
"203 Pinot Ct, San Jose, CA 95119",95119,912000.0,Sold 11/21/2018,1969,8611.0,SINGLE_FAMILY,3695,324798.0,4,2.0,1575,37.229691,-121.782596,https://www.zillow.com/homedetails/203-Pinot-Ct-San-Jose-CA-95119/19839738_zpid/,Sold
"151 Yasou Demas Way, San Jose, CA 95119",95119,810000.0,Sold 11/19/2018,1996,1000.0,CONDO,3345,288848.0,3,3.0,1318,37.239419,-121.794808,https://www.zillow.com/homedetails/151-Yasou-Demas-Way-San-Jose-CA-95119/19841805_zpid/,Sold
"238 Moselle Ct, San Jose, CA 95119",95119,1150000.0,Sold 11/17/2018,1970,10105.0,SINGLE_FAMILY,4100,988380.0,4,3.0,2580,37.227747,-121.784894,https://www.zillow.com/homedetails/238-Moselle-Ct-San-Jose-CA-95119/19839688_zpid/,Sold
"183 Sunwood Meadows Pl, San Jose, CA 95119",95119,555000.0,Sold 11/15/2018,1985,1200.0,CONDO,2650,415706.0,2,2.0,920,37.227989,-121.773347,https://www.zillow.com/homedetails/183-Sunwood-Meadows-Pl-San-Jose-CA-95119/19841627_zpid/,Sold
"6960 Polvadero Dr, San Jose, CA 95119",95119,845000.0,Sold 11/13/2018,1970,6000.0,SINGLE_FAMILY,3420,726624.0,2,2.0,1436,37.225089,-121.782072,https://www.zillow.com/homedetails/6960-Polvadero-Dr-San-Jose-CA-95119/19840071_zpid/,Sold
